Time,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,IndexId
20:04:02,933.19,519.23,21.71,238.45,0,0,0,0
20:04:02,932.94,516.98,22.7,251.8,0,0,0,1
20:04:02,827.7,521.87,17.26,207.42,0,0,0,2
20:04:02,893.26,519.82,18.9,219.49,0,0,0,3
20:04:02,953.94,520.69,21.88,252.06,0,0,0,4
20:04:02,848.79,519.2,18.79,224.68,0,0,0,5
20:04:02,845.51,516.32,24.37,207.32,0,0,0,6
20:04:02,951.85,522.06,22.15,251.08,0,0,0,7
20:04:02,894.98,525.64,21.9,241.74,0,0,0,8
20:04:02,829.14,527.04,21.96,203.21,0,0,0,9
20:04:02,934.18,521.18,23.97,243.27,0,0,0,10
20:04:02,937.55,524.96,24.46,254.96,0,0,0,11
20:04:02,829.94,529.95,23.29,217.36,0,0,0,12
20:04:02,888.42,527.03,23.46,223.79,0,0,0,13
20:04:02,951.6,525.86,25.49,261.06,0,0,0,14
20:04:02,852.31,526.21,22.59,224.61,0,0,0,15
20:04:02,850.25,521.51,22.94,210.06,0,0,0,16
20:04:02,952.06,524.09,27.23,254.64,0,0,0,17
20:04:02,891.6,522.13,22.33,245.76,0,0,0,18
20:04:02,826.04,523.4,22.05,203.5,0,0,0,19
20:04:02,929.79,521.89,25.34,246.09,0,0,0,20
20:04:02,935.84,527.64,23.4,258.25,0,0,0,21
20:04:02,829.01,526.01,19.31,217.17,0,0,0,22
20:04:02,894.39,526.11,23.11,228.25,0,0,0,23
20:04:02,957.88,530.47,24.39,270.44,0,0,0,24
20:04:02,849.94,531.73,23.11,235.1,0,0,0,25
20:04:02,846.42,526.38,18.83,213.81,0,0,0,26
20:04:02,948.95,525.04,24.72,261.56,0,0,0,27
20:04:02,887.82,523.03,22.6,248.94,0,0,0,28
20:04:02,818.81,528.41,22.73,203.38,0,0,0,29
20:04:02,931.68,523.93,25.55,242.94,0,0,0,30
20:04:02,924.63,524,23.74,255.26,0,0,0,31
20:04:02,821.42,525.56,21.98,209.66,0,0,0,32
20:04:02,889.28,525.16,21.91,223.92,0,0,0,33
20:04:02,948.35,520.51,24.84,254.89,0,0,0,34
20:04:02,848.08,518.91,18.57,225.74,0,0,0,35
20:04:02,846.09,522.79,22.45,209.43,0,0,0,36
20:04:02,949.87,523.01,25.9,254.55,0,0,0,37
20:04:02,887.49,526.9,23.29,244.79,0,0,0,38
20:04:02,820.08,525.76,22.9,204.32,0,0,0,39
20:04:02,927.68,524.31,24.05,240.28,0,0,0,40
20:04:02,928.11,527.52,23.32,259.29,0,0,0,41
20:04:02,823.42,528.3,21.42,211.98,0,0,0,42
20:04:02,888.77,529.24,25.13,224.68,0,0,0,43
20:04:02,953.29,532.42,24.46,266.04,0,0,0,44
